"module name","version","licenses","repository"
"supports-color@4.5.0","4.5.0","MIT","https://github.com/chalk/supports-color"
"supports-color@5.4.0","5.4.0","MIT","https://github.com/chalk/supports-color"
"table@4.0.2","4.0.2","BSD-3-Clause","https://github.com/gajus/table"
"text-table@0.2.0","0.2.0","MIT","https://github.com/substack/text-table"
"through@2.3.8","2.3.8","MIT","https://github.com/dominictarr/through"
"tmp@0.0.33","0.0.33","MIT","https://github.com/raszi/node-tmp"
"to-fast-properties@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/to-fast-properties"
"treeify@1.1.0","1.1.0","MIT","https://github.com/notatestuser/treeify"
"trim-right@1.0.1","1.0.1","MIT","https://github.com/sindresorhus/trim-right"
"type-check@0.3.2","0.3.2","MIT","https://github.com/gkz/type-check"
"typedarray@0.0.6","0.0.6","MIT","https://github.com/substack/typedarray"
"ua-parser-js@0.7.17","0.7.17","(GPL-2.0 OR MIT)","https://github.com/faisalman/ua-parser-js"
"util-deprecate@1.0.2","1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"util-extend@1.0.3","1.0.3","MIT","https://github.com/isaacs/util-extend"
"validate-npm-package-license@3.0.1","3.0.1","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js"
"whatwg-fetch@2.0.3","2.0.3","MIT","https://github.com/github/fetch"
"which@1.3.0","1.3.0","ISC","https://github.com/isaacs/node-which"
"wordwrap@1.0.0","1.0.0","MIT","https://github.com/substack/node-wordwrap"
"wrappy@1.0.2","1.0.2","ISC","https://github.com/npm/wrappy"
"write@0.2.1","0.2.1","MIT","https://github.com/jonschlinkert/write"
"yallist@2.1.2","2.1.2","ISC","https://github.com/isaacs/yallist"
